8259U					
Method	Level	Threads	ms	%	mb/sec
pigzCF	3	1	2471	34.376	85
pigzCF	6	1	4671	32.357	45
pigzCF	9	1	10557	32.162	20
pigzCF	3	2	1308	34.283	162
pigzCF	6	2	2338	32.357	90
pigzCF	9	2	5346	32.162	39
pigzCF	3	4	746	34.283	284
pigzCF	6	4	1290	32.357	164
pigzCF	9	4	2835	32.162	74
pigzCF	3	5	738	34.283	287
pigzCF	6	5	1083	32.357	195
pigzCF	9	5	1980	32.162	107
pigzSys	3	1	4325	34.435	49
pigzSys	6	1	8300	32.196	25
pigzSys	9	1	20027	31.922	10
pigzSys	3	2	2260	34.354	93
pigzSys	6	2	4380	32.196	48
pigzSys	9	2	10335	31.922	20
pigzSys	3	4	1349	34.354	157
pigzSys	6	4	2325	32.196	91
pigzSys	9	4	5164	31.922	41
pigzSys	3	5	960	34.354	220
pigzSys	6	5	1659	32.196	127
pigzSys	9	5	3464	31.922	61
8700K					
Method	Level	Threads	ms	%	mb/sec
pigzCF	3	1	1725	34.38	123
pigzCF	6	1	3146	32.36	67
pigzCF	9	1	7529	32.16	28
pigzCF	3	2	1021	34.28	208
pigzCF	6	2	1778	32.36	119
pigzCF	9	2	4036	32.16	53
pigzCF	3	4	553	34.28	384
pigzCF	6	4	974	32.36	218
pigzCF	9	4	2197	32.16	96
pigzCF	3	5	331	34.28	641
pigzCF	6	5	543	32.36	390
pigzCF	9	5	1096	32.16	193
pigzSys	3	1	3098	34.44	68
pigzSys	6	1	6042	32.2	35
pigzSys	9	1	13692	31.92	15
pigzSys	3	2	1744	34.35	122
pigzSys	6	2	3328	32.2	64
pigzSys	9	2	7295	31.92	29
pigzSys	3	4	939	34.35	226
pigzSys	6	4	1748	32.2	121
pigzSys	9	4	3860	31.92	55
pigzSys	3	5	483	34.35	439
pigzSys	6	5	906	32.2	234
pigzSys	9	5	1794	31.92	118
3900X					
Method	Level	Threads	ms	%	mb/sec
pigzCF	3	1	1878	34.376	112
pigzCF	6	1	3342	32.357	63
pigzCF	9	1	7494	32.162	28
pigzCF	3	2	1031	34.283	205
pigzCF	6	2	1789	32.357	118
pigzCF	9	2	4033	32.162	52
pigzCF	3	4	558	34.283	379
pigzCF	6	4	980	32.357	216
pigzCF	9	4	2141	32.162	98
pigzCF	3	5	270	34.283	784
pigzCF	6	5	352	32.357	602
pigzCF	9	5	661	32.162	320
pigzSys	3	1	3148	34.435	67
pigzSys	6	1	6160	32.196	34
pigzSys	9	1	14098	31.922	15
pigzSys	3	2	1737	34.354	122
pigzSys	6	2	3273	32.196	64
pigzSys	9	2	7209	31.922	29
pigzSys	3	4	932	34.354	227
pigzSys	6	4	1749	32.196	121
pigzSys	9	4	3824	31.922	55
pigzSys	3	5	307	34.354	690
pigzSys	6	5	489	32.196	433
pigzSys	9	5	980	31.922	216
M1					
Method	Level	Threads	ms	%	mb/sec
pigzCF	3	1	1806	34.376	117
pigzCF	6	1	3026	32.357	70
pigzCF	9	1	7684	32.162	27
pigzCF	3	2	929	34.283	228
pigzCF	6	2	1572	32.357	134
pigzCF	9	2	3984	32.162	53
pigzCF	3	4	506	34.283	418
pigzCF	6	4	842	32.357	251
pigzCF	9	4	2130	32.162	99
pigzCF	3	5	385	34.283	550
pigzCF	6	5	616	32.357	344
pigzCF	9	5	1543	32.162	137
pigzSys	3	1	2541	34.435	83
pigzSys	6	1	5558	32.196	38
pigzSys	9	1	13825	31.922	15
pigzSys	3	2	1321	34.354	160
pigzSys	6	2	2929	32.196	72
pigzSys	9	2	7232	31.922	29
pigzSys	3	4	708	34.354	299
pigzSys	6	4	1560	32.196	135
pigzSys	9	4	3842	31.922	55
pigzSys	3	5	530	34.354	399
pigzSys	6	5	1102	32.196	192
pigzSys	9	5	2850	31.922	74
M1-Translated					
Method	Level	Threads	ms	%	mb/sec
pigzCFX86	3	1	1881	34.376	112
pigzCFX86	6	1	3155	32.357	67
pigzCFX86	9	1	7817	32.162	27
pigzCFX86	3	2	1005	34.283	210
pigzCFX86	6	2	1648	32.357	128
pigzCFX86	9	2	4077	32.162	51
pigzCFX86	3	4	599	34.283	353
pigzCFX86	6	4	901	32.357	235
pigzCFX86	9	4	2207	32.162	96
pigzCFX86	3	5	484	34.283	437
pigzCFX86	6	5	696	32.357	304
pigzCFX86	9	5	1600	32.162	132
pigzSys86	3	1	2765	34.435	76
pigzSys86	6	1	5878	32.196	36
pigzSys86	9	1	14552	31.922	14
pigzSys86	3	2	1452	34.354	145
pigzSys86	6	2	2952	32.196	71
pigzSys86	9	2	7413	31.922	28
pigzSys86	3	4	800	34.354	264
pigzSys86	6	4	1576	32.196	134
pigzSys86	9	4	3898	31.922	54
pigzSys86	3	5	625	34.354	339
pigzSys86	6	5	1165	32.196	181
pigzSys86	9	5	2798	31.922	75